日期	金风科技	吉祥航空	保利地产
20180725	0.001385042	-0.032198532	0.00583092
20180726	-0.042409182	-0.010526413	-0.017595762
20180727	0.016470118	-0.012645759	-0.000845666
20180730	-0.004270469	-0.068610206	0.011774737
20180731	-0.005722476	0.019183537	0.014113974
20180801	-0.03207272	-0.019183537	-0.068227648
20180802	-0.027789997	-0.042497237	-0.042367761
20180803	-0.024673572	-0.019652938	-0.016713481
20180806	-0.03495193	-0.036537294	-0.016045649
20180807	0.064942643	0.009456335	0.046476766
20180808	-0.025317808	-0.019002947	-0.027626066
20180809	0.029852963	0.040726067	0.07377445
20180810	-0.008330226	0.003829955	0.014636508
20180813	-0.016871566	-0.000764818	-0.019853911
20180814	-0.003098376	-0.039802367	-0.036399935
20180815	-0.048479894	-0.011209085	-0.016408755
20180816	-0.021399994	0.005620248	0.011877709
20180817	-0.022718689	-0.034205289	-0.005464494
20180820	0.050612211	-0.000828844	0.027028672
20180821	0.032633218	0.0719735	0.016747857
20180822	-0.006284388	-0.016336419	-0.008779688
20180823	0.01641303	-0.007874056	-0.003533573
20180824	0	0.015686596	0.001768347
20180827	0.000774893	0.030653741	0.058335577
20180828	-0.002326484	0.029741969	-0.001668057
20180829	-0.025955055	-0.021474354	0.010792965
20180830	-0.008000043	-0.019652938	-0.020017349
20180831	-0.022746716	-0.038915416	0.033957714
20180903	0.00655203	-0.006369448	-0.008998016
20180904	0.020202707	0.006369448	0.015491545
20180905	-0.031697087	0.001586043	-0.042981823
20180906	-0.015813896	-0.045388666	-0.035242152
20180907	0.000838574	0.07351552	0.007843177
20180910	-0.022892055	-0.063614449	0.024014876
20180911	0.00938974	-0.012391732	-0.012793351
20180912	-0.022337699	0.002490661	0.001715266
20180913	0.000868433	0.006611594	0.016149947
20180914	-0.006968669	0.015529532	0.013400536
20180917	-0.025676488	-0.002436055	-0.00416841
20180918	0.047294278	0.013726497	0.014102266
20180919	0.009365756	0.016700189	0.0458833
20180920	-0.020548668	0.0078555	-0.011871924
20180921	0.012037979	0.058505098	0.045904598
20180925	-0.028610534	-0.03301125	-0.061956307
20180926	0.053928342	0.010622255	0.003231021
20180927	-0.005850414	-0.016743161	-0.011354542
20180928	0.0066834	0.017497594	-0.007368024
20181008	-0.068933399	-0.032965806	-0.069756163
20181009	-0.018910964	-0.017296029	-0.011519844
20181010	-0.104350924	-0.012769527	0.011519844
20181011	-0.081978654	-0.053621091	-0.033142308
20181012	0.041829154	0.019303999	0.034902872
20181015	-0.028771297	-0.017610518	-0.02854788
20181016	-0.001081666	-0.071897739	-0.032186686
20181017	-0.005425949	-0.007299302	0.0166825
20181018	-0.015351179	0.000915332	-0.020427823
20181019	0.025096789	0.052573353	0.046733194
20181022	0.068705474	0.076832432	0.043789833
20181023	-0.029609105	-0.00483482	-0.030450374
20181024	-0.014614039	0.012043502	0.01664515
20181025	-0.012698583	-0.002397125	0.054112947
20181026	0.011646505	0	0.020367303
20181029	-0.093732478	-0.030871664	-0.02614528
20181030	-0.003474236	0.009034969	0.018860748
20181031	0.019529627	0.018631564	0.023284874
20181101	0.014681235	0.011173301	0.018868484
20181102	0.077625162	0.093866136	-0.011751017
20181105	0.057446524	-0.024132798	-0.032842359
20181106	-0.00490919	0.016153068	0.017756722
20181107	0.002948405	-0.000728597	-0.008838949
20181108	-0.02887209	-0.005115101	-0.000807428
20181109	-0.001010612	-0.015504187	-0.016287005
20181112	0.095402096	0.030049898	0.013860801
20181113	0.044052066	0.054788982	0.009669697
20181114	-0.010610179	0.016271545	0.01116439
20181115	0.001776199	-0.011498267	0.01260852
20181116	-0.011602094	-0.036014973	0.017850687
20181119	0.000897263	-0.025715703	0.039220713
20181120	-0.043066664	-0.027881483	-0.017158198
20181121	0.024052963	0.011098893	0.009734259
20181122	-0.014733232	-0.002209946	-0.015015297
20181123	-0.040706046	-0.029182767	-0.016781477
20181126	0.016291688	0.002275314	0.003838776
20181127	0.010401985	0.001514005	-0.020124518
20181128	0.058464136	0.00452831	0.043601553
20181129	-0.033381539	-0.011359456	-0.034262963
20181130	0.010949014	0.011359456	0.014610025
20181203	0.019767041	0.028944507	0
20181204	0.017637141	0.016685189	-0.032586281
20181205	-0.01231326	-0.018882188	0.003935464
20181206	0.000884564	-0.038868869	-0.003935464
20181207	-0.008881053	0.003803732	0
20181210	-0.042831148	-0.041075127	-0.019108862
20181211	0.013869848	0.00315956	0.028528084
20181212	0.014585491	0.0078555	0.007006646
20181213	0.024140645	0.013214339	0.033565317
20181214	-0.033231617	-0.034567464	-0.025067777
20181217	-0.016574965	-0.036634133	0
20181218	-0.003720935	-0.005821222	-0.036823589
20181219	-0.045765851	-0.010901575	-0.005602256
20181220	-0.003910073	0.008396355	-0.007249327
20181221	-0.013806925	0.014113974	-0.034542908
20181224	0.023553591	0.005754229	0.001672241
20181225	0.005802724	0.020284671	-0.003347283
20181226	-0.008716762	0.004008021	-0.010109606
20181227	-0.00487568	0.001598721	-0.00509339
20181228	-0.023739987	0.000798403	0.003398474
20190102	-0.033590944	-0.023416492	-0.006808537
20190103	-0.033687396	0.012180419	0.016095223
20190104	0.048076133	-0.016273752	0.02735355
20190107	0.018200705	0.014658243	-0.005740073
20190108	0.025718529	-0.020417206	-0.014078907
20190109	0.006812678	-0.004962789	0.012432817
20190110	0.039929259	-0.006655599	-0.011599136
20190111	-0.016917697	0.023918666	-0.000833681
20190114	-0.014320054	-0.024753739	-0.018519048
20190115	0.019991146	0.00250313	-0.007675944
20190116	0.004701466	0.000832986	0.015293416
20190117	-0.013220211	-0.017640105	-0.007617472
20190118	0.043707561	0.015973438	0.025169114
20190121	0.026045478	-0.005016733	-0.002488595
20190122	-0.027866972	-0.005884843	0.00083022
20190123	-0.009157573	-0.003378382	-0.011686277
20190124	0.051109285	0.004221197	0.002515725
20190125	0.037740328	0.009224384	0.029705154
20190128	0.09469781	0.04088877	-0.004889985
20190129	-0.021672675	0.002400962	0.028193571
20190130	0.01244184	-0.012872261	0.008699145
20190131	-0.006979478	-0.02045061	0.014073727
20190201	0.061128043	0.015580471	-0.000776699
